Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9634312772750855,0.05986548528075218,0.5047096002101898,0.4258559036254883,15.558425685336115,0.39662955403327943
2,0.9752442574501038,0.028784883096814155,0.46871677815914153,0.4390525123476982,18.756844428714437,0.5101974666118622
3,1.0173886847496032,0.020512252002954482,0.4669077283143997,0.46779412269592285,19.313019963382644,0.5784179449081421
4,1.0028275060653686,0.016900451704859733,0.693018753528595,0.7014451909065247,20.457523448138634,0.5969990372657776
5,1.0093113803863525,0.01660399243235588,0.7718963932991028,0.774239022731781,17.62701007310324,0.5721933603286743
6,1.0035881853103639,0.01339794985949993,0.7718402242660523,0.7697449254989625,21.477492837479552,0.673076617717743
7,0.9969110536575317,0.012188965864479541,0.7142693042755127,0.7193437767028809,21.542507592357847,0.6810206770896912
8,1.0100744104385375,0.011329316962510348,0.7958276343345642,0.8072868514060975,21.261977594884897,0.7041664838790893
9,1.0015557932853698,0.010847013965249062,0.7435494899749756,0.7424862504005432,23.31634331049505,0.7263913035392762
10,1.0011173677444458,0.010255859214812518,0.7695865988731384,0.7640056490898133,21.699021070006417,0.7387276291847229
11,0.9798976564407349,0.010375962555408479,0.7114127397537231,0.6869235277175904,22.981870879910954,0.739078164100647
12,1.0073464369773866,0.010202283933758736,0.6730386710166931,0.6688236355781555,24.014102442132668,0.7687720656394958
13,0.9989189720153808,0.009674489609897136,0.6263006913661957,0.6251020801067352,24.1749946662285,0.7782684326171875
14,0.9992615437507629,0.008573909271508456,0.7247817277908325,0.7243577671051026,24.743245032741918,0.7801698565483093
15,1.0065682172775268,0.008330084290355444,0.7283893179893494,0.7283388662338257,25.82447790443217,0.7991364121437072
16,1.0041333627700806,0.007670083418488503,0.710251989364624,0.7115989756584168,25.757931765569694,0.7949674248695373
17,0.9968723750114441,0.007372289337217808,0.6901122999191284,0.6872956657409668,25.93861811782496,0.8004012823104858
18,0.9835365676879883,0.007180883400142193,0.6941626501083374,0.6709645628929138,26.2190075775295,0.8045310258865357
19,1.003431384563446,0.007007209919393063,0.5747084891796113,0.5682420814037323,22.46287613745837,0.7843171238899231
20,0.9961545991897583,0.007700371313840151,0.5460423898696899,0.5331878912448883,26.097547906921434,0.8032981753349304
21,0.997353527545929,0.006698882281780243,0.5197489845752716,0.5143724632263184,26.549513191346094,0.8278366446495056
22,1.0001813197135925,0.0059704197198152545,0.4360192728042602,0.434067941904068,26.695653360642527,0.8245432615280152
23,0.9965864515304566,0.005836350098252297,0.4818917918205261,0.48375445246696475,27.576435598783075,0.8444379806518555
24,0.9987200617790222,0.006075280625373125,0.5757093858718872,0.5721659791469574,25.938158883401673,0.8395363092422485
25,0.9989118242263794,0.00566776605322957,0.5665473926067353,0.5660662770271301,25.07977113007187,0.8519227743148804
26,0.9982645511627197,0.0052784469816833735,0.5876985907554626,0.5906891655921936,25.90710965360718,0.8132220149040222
27,0.992972218990326,0.005442929323762656,0.6335897636413574,0.6270343351364136,27.778455144125118,0.8576412439346314
28,0.9975727677345276,0.004552993848919868,0.7217538142204285,0.7206740164756775,27.631443649937157,0.8593990921974182
29,0.9986283946037292,0.004253233466297388,0.7260715937614441,0.725343005657196,27.87388254685712,0.8538551330566406
30,1.0002251720428468,0.004742125328630209,0.762036452293396,0.7599307179450989,26.225350593180853,0.8481552600860596
31,1.0027637791633606,0.003945051534101367,0.9784255337715149,0.9839389824867248,28.415267699006584,0.8673781156539917
32,1.0000022912025452,0.005460316715762019,0.9999520468711853,0.9999605274200439,26.403435714203756,0.8488724708557129
33,1.0000051188468932,0.004213264770805835,0.9999800109863282,0.9999853658676148,28.165572888035726,0.8551519989967347
34,1.0000011467933654,0.005360460132360459,0.9999933266639709,0.9999945139884949,24.800649126855767,0.824177348613739
35,1.0000027632713318,0.005117054525762796,0.999977035522461,0.9999798440933227,24.68662237531497,0.8485834956169128
36,1.0000021243095398,0.005569869335740805,0.9999912405014038,0.999993441104889,27.48165258590842,0.8606950759887695
37,1.0000001287460327,0.005050879428163171,0.9999955916404724,0.9999957394599914,26.785152670688646,0.8631880164146424
38,0.9999998474121093,0.00412462810985744,0.9999933242797852,0.999993155002594,27.769165572406727,0.8555618047714233
39,1.0000004744529725,0.004638201519846916,0.9999913787841797,0.9999918437004089,26.013170543422266,0.8454320788383484
40,1.0000019073486328,0.004540328327566385,0.99998948097229,0.9999914240837097,26.727249495865422,0.8699065566062927
41,1.0000007939338684,0.004065583376213908,0.9999951267242432,0.9999959373474121,25.977996961831764,0.870612895488739
42,0.9999991488456726,0.00464289796538651,0.9999971652030945,0.9999963235855103,25.376177471111767,0.8684460520744324
43,1.0000015497207642,0.004612820092588663,0.9999921107292176,0.9999936985969543,28.258850960971795,0.8772699475288391
44,1.0000008678436278,0.004041718216612935,0.9999925637245178,0.9999934577941895,28.92705436477673,0.8786953210830688
45,1.0000018906593322,0.003278339197859168,0.9999957752227783,0.9999976658821106,29.11235919977974,0.8761043787002564
46,1.000003342628479,0.0032296779472380877,0.999983835220337,0.9999873518943787,29.278255725197894,0.8793949842453003
47,1.0000016140937804,0.003984104245901108,0.9999932408332824,0.9999949049949646,27.655158953819278,0.8858431339263916
48,1.0000013899803162,0.0036111454293131827,0.9999955463409423,0.9999969458580017,28.827603639577532,0.8824234366416931
49,1.0000000858306886,0.0034005911415442825,0.9999981999397278,0.9999982929229736,28.767131234499818,0.8771039247512817
50,1.0000000953674317,0.003276577414944768,0.9999977922439576,0.9999978899955749,29.74303745310209,0.8884701371192932
